candidate,params,fold,accuracy,balanced_accuracy,precision_up,recall_up,f1_up,roc_auc,average_precision,brier_loss,log_loss,predicted_up_share
logistic_full,"{""model__C"": 0.1}",1,0.5152838427947598,0.5122718208314159,0.5483870967741935,0.5528455284552846,0.5506072874493927,0.5098174566651327,0.5500626201990867,0.2610469659839613,0.7205012263678746,0.5414847161572053
logistic_full,"{""model__C"": 0.1}",2,0.4847161572052402,0.4801605504587156,0.5073529411764706,0.575,0.5390625,0.46704892966360856,0.5014648356929391,0.25682776150063397,0.7071248379735586,0.5938864628820961
logistic_full,"{""model__C"": 0.1}",3,0.4978165938864629,0.4913674560733384,0.5131578947368421,0.6554621848739496,0.5756457564575646,0.45981665393430105,0.48008331655026315,0.26036407379753096,0.7153629559965287,0.6637554585152838
logistic_full,"{""model__C"": 0.1}",4,0.5240174672489083,0.5233409610983981,0.52,0.6782608695652174,0.5886792452830188,0.548970251716247,0.547216729872332,0.24981391484491167,0.6929150813587109,0.6550218340611353
logistic_full,"{""model__C"": 1.0}",1,0.5327510917030568,0.5311397453597178,0.5666666666666667,0.5528455284552846,0.5596707818930041,0.5313698420003068,0.5643901816637716,0.2638206936751348,0.7307952563389497,0.5240174672489083
logistic_full,"{""model__C"": 1.0}",2,0.5109170305676856,0.5051605504587156,0.528169014084507,0.625,0.5725190839694656,0.4963302752293578,0.5153440796216604,0.2567734477257155,0.7075265481804498,0.6200873362445415
logistic_full,"{""model__C"": 1.0}",3,0.5240174672489083,0.5186401833460657,0.5342465753424658,0.6554621848739496,0.5886792452830188,0.46730328495034384,0.47773103811595086,0.26344621899436094,0.7240789521429772,0.6375545851528385
logistic_full,"{""model__C"": 1.0}",4,0.519650655021834,0.5193363844393593,0.5190839694656488,0.591304347826087,0.5528455284552846,0.5385202135774217,0.5451083996780308,0.2509300962666203,0.6953322774478484,0.5720524017467249
logistic_top8,"{""model__C"": 0.1}",1,0.49344978165938863,0.4886869151710385,0.5271317829457365,0.5528455284552846,0.5396825396825397,0.4697806412026385,0.5208380810651185,0.268087209437046,0.7359884510749893,0.5633187772925764
logistic_top8,"{""model__C"": 0.1}",2,0.45414847161572053,0.45477828746177373,0.4774774774774775,0.44166666666666665,0.4588744588744589,0.4434250764525994,0.46966972449140354,0.26063612636299627,0.7150172981334947,0.4847161572052402
logistic_top8,"{""model__C"": 0.1}",3,0.5021834061135371,0.503475935828877,0.5233644859813084,0.47058823529411764,0.49557522123893805,0.4662337662337662,0.4877600813135478,0.2569554379296879,0.7078908216186385,0.4672489082969432
logistic_top8,"{""model__C"": 0.1}",4,0.5065502183406113,0.5049199084668192,0.505,0.8782608695652174,0.6412698412698413,0.5552250190694127,0.551283931880917,0.24984975356900763,0.6928617258948657,0.8733624454148472
logistic_top8,"{""model__C"": 1.0}",1,0.4847161572052402,0.48186071483356346,0.5203252032520326,0.5203252032520326,0.5203252032520326,0.4717748120877435,0.5215392852743831,0.2727152822992663,0.7477313610203085,0.537117903930131
logistic_top8,"{""model__C"": 1.0}",2,0.4759825327510917,0.4760321100917431,0.5,0.475,0.48717948717948717,0.44373088685015294,0.47019739665041715,0.2616362114610818,0.717173521934411,0.4978165938864629
logistic_top8,"{""model__C"": 1.0}",3,0.49344978165938863,0.4954163483575248,0.5145631067961165,0.44537815126050423,0.4774774774774775,0.4652406417112299,0.48679242374717047,0.2582238518202642,0.7109208115816211,0.4497816593886463
logistic_top8,"{""model__C"": 1.0}",4,0.4978165938864629,0.4963768115942029,0.5,0.8260869565217391,0.6229508196721312,0.5420289855072463,0.5477277814984253,0.25034473653500844,0.6938532642966386,0.8296943231441049
random_forest,"{""model__max_depth"": 3}",1,0.5021834061135371,0.49160147261849974,0.5306122448979592,0.6341463414634146,0.5777777777777777,0.5106611443472926,0.580410736423125,0.25859771600410486,0.7110222774731702,0.6419213973799127
random_forest,"{""model__max_depth"": 3}",2,0.4672489082969432,0.46896024464831804,0.49056603773584906,0.43333333333333335,0.46017699115044247,0.4659021406727828,0.48938623245754465,0.2582412843049983,0.7100896741347172,0.462882096069869
random_forest,"{""model__max_depth"": 3}",3,0.49344978165938863,0.48338426279602753,0.5086705202312138,0.7394957983193278,0.6027397260273972,0.4769289533995416,0.5026245786137621,0.25185732687186957,0.6968953867484469,0.7554585152838428
random_forest,"{""model__max_depth"": 3}",4,0.4847161572052402,0.4835240274599542,0.4915254237288136,0.7565217391304347,0.5958904109589042,0.5672768878718536,0.5921669238157733,0.246509279439972,0.6860233977591551,0.7729257641921398
random_forest,"{""model__max_depth"": 6}",1,0.49344978165938863,0.48281945083601774,0.5238095238095238,0.6260162601626016,0.5703703703703704,0.5100475533057217,0.5800201284487141,0.25947292105585285,0.712982346301324,0.6419213973799127
random_forest,"{""model__max_depth"": 6}",2,0.462882096069869,0.4652140672782875,0.4854368932038835,0.4166666666666667,0.4484304932735426,0.44900611620795106,0.47822233245532625,0.26323717168586197,0.7203982534321666,0.4497816593886463
random_forest,"{""model__max_depth"": 6}",3,0.49344978165938863,0.48235294117647054,0.5083798882681564,0.7647058823529411,0.610738255033557,0.4705118411000765,0.4974780083939834,0.254528177156464,0.702369140048091,0.7816593886462883
random_forest,"{""model__max_depth"": 6}",4,0.4672489082969432,0.4664378337147216,0.47770700636942676,0.6521739130434783,0.5514705882352942,0.5325705568268497,0.5711198089090304,0.2498746336170006,0.6927025809406537,0.6855895196506551
extra_trees,"{""model__max_depth"": 3}",1,0.5065502183406113,0.4943626323055683,0.5328947368421053,0.6585365853658537,0.5890909090909091,0.5324436263230556,0.5805297985804254,0.24825758990532823,0.6896245906381445,0.6637554585152838
extra_trees,"{""model__max_depth"": 3}",2,0.43231441048034935,0.427217125382263,0.463768115942029,0.5333333333333333,0.49612403100775193,0.4390672782874618,0.47818484927040766,0.25466095178077847,0.7025969188565698,0.6026200873362445
