date,log_return,action,turnover,return,equity,drawdown
2016-11-28,-0.005458204800394631,1,0,-0.0054433358654375485,0.9482580805170726,-0.07173527012522407
2016-11-29,0.01280394981792812,1,0,0.012886271355136536,0.9604775914573165,-0.05977339892665523
2016-11-30,0.000912811647264236,1,0,0.0009132283866077895,0.9613547268585361,-0.058914757304711185
2016-12-01,-0.013459825238427418,1,0,-0.013369646839274552,0.9485017536731701,-0.07149673464520023
2016-12-02,-0.021617854895004944,1,0,-0.021385863793758064,0.9282172243609751,-0.09135357901013752
2016-12-05,0.010575169868569172,1,0,0.010631284610643332,0.938085365853658,-0.08169350029815181
2016-12-06,0.01314696747981133,1,0,0.013233768831169002,0.950499770729268,-0.06954084436493757
2016-12-07,-0.0003076518770614804,1,0,-0.0003076045570755692,0.9502073926682922,-0.06982705784138377
2016-12-08,0.01653035262749326,1,0,0.0166677348547819,0.966045197546341,-0.05432318187239149
2016-12-09,0.007976146540864088,1,0,0.00800804073889072,0.9737813268439018,-0.046750163387001
2016-12-12,0.006882329010088895,1,0,0.006906066661920285,0.980506325601219,-0.040166956469887105
2016-12-13,0.009361880258296082,1,0,0.009405839733305665,0.9897288109573165,-0.03113892069171187
2016-12-14,0.004335751219664786,1,0,0.004345164188163997,0.9940293451426824,-0.02692906022659547
2016-12-15,0.001763325824515041,1,0,0.0017648813976898214,0.9957836890426824,-0.025211705426356867
2016-12-16,0.0011616195402489706,1,0,0.00116229448154348,0.9969410829292679,-0.0240787143709007
2016-12-19,-0.011096236155728755,1,0,-0.011034900003751291,0.9859399377695118,-0.03484790816935024
2016-12-20,0.005041105107004299,1,0,0.005053832855672846,0.9909227134207315,-0.029970190816935083
2016-12-21,0.002885018849805231,1,0,0.0028891845217378087,0.9937856719865851,-0.027167595706619085
2016-12-22,-0.008148634121525604,1,0,-0.008115523997634266,0.9857205805170728,-0.035062640429338376
2016-12-23,-0.0013480420929868992,1,0,-0.0013471338923880527,0.9843926829146338,-0.036362540250447495
2016-12-27,0.0008288330318258739,1,0,0.0008291766088392993,0.9852089183012191,-0.035563514609421754
2016-12-28,0.005733672061764207,1,0,0.005750141020244071,0.9908740085158533,-0.03001786881335744
2016-12-29,-0.013616936406419079,1,0,-0.01352464531012143,0.9774727890036582,-0.04313653309481236
2016-12-30,0.0010962107038720705,1,0,0.0010968117624345908,0.9785448926560971,-0.04208703398926683
2017-01-03,-0.003229805183923019,1,0,-0.0032245949739904134,0.9753894817134143,-0.045175915324985216
2017-01-04,0.01151203323105326,1,0,0.011578551694802375,0.9866830792499995,-0.03412043530113329
2017-01-05,-0.0029553993995802964,1,0,-0.0029510365058642574,0.9837713414634143,-0.03697078115682784
2017-01-06,0.009232775860035292,1,0,0.009275529411764794,0.9928963414756095,-0.028038175313059188
2017-01-09,0.013866778106174949,1,0,0.013963367820014616,1.0067605182987802,-0.014466314847942918
2017-01-10,0.000846734131237472,1,0,0.0008470927117822935,1.0076133377963412,-0.013631476446034685
2017-01-11,-0.0005442519584250536,1,0,-0.0005441038801931031,1.007065091469512,-0.014168163387000554
2017-01-12,0.0021269011039043956,1,0,0.002129164562490349,1.00920929877439,-0.012069165175909502
2017-01-13,0.0031578025157097565,1,0,0.0031627936263383116,1.012401219512195,-0.008944543828264706
2017-01-17,-0.0012040940648045638,1,0,-0.001203369434416346,1.0111829268292682,-0.010137149672033274
2017-01-18,-0.0002410073531921351,1,0,-0.0002409783132529819,1.0109392536731707,-0.010375685152057113
2017-01-19,-0.0009645383021564143,1,0,-0.0009640732846093458,1.0099646341463413,-0.011329755515802065
2017-01-20,0.00010859120870697799,1,0,0.00010859710494570685,1.0100743133817072,-0.0112223887895051
2017-01-23,0.0030348165422798565,1,0,0.0030394262600388355,1.0131443597743903,-0.008217072152653326
2017-01-24,0.01831349512279302,1,0,0.018482215554446402,1.0318695122195123,0.0
2017-01-25,0.007727050758756672,1,0,0.007756981457814449,1.039873704892683,0.0
2017-01-26,0.006423004771225443,1,0,0.0064436765008777375,1.0465743146487807,0.0
2017-01-27,-5.819155480137672e-05,1,0,-5.818986170569307e-05,1.0465134146341464,-5.8189861705915114e-05
2017-01-30,-0.02587317186549881,1,0,-0.025541329452852257,1.0197840707341463,-0.025598033068129356
2017-01-31,-0.021201351934872284,1,0,-0.020978183215010104,0.9983908536585366,-0.04603921605549233
2017-02-01,0.005476131725587225,1,0,0.005491153142159755,1.0038731707317072,-0.04080087129923837
2017-02-02,-0.010982416668609041,1,0,-0.01092233009708743,0.9929085365853657,-0.051277560811746725
2017-02-03,0.009926039724149674,1,0,0.009975466257668764,1.0028132621890242,-0.04181361213173118
2017-02-06,-0.0026885111125790114,1,0,-0.0026849003032030083,1.000120808557317,-0.04438624705504357
2017-02-07,0.0055636215077493325,1,0,0.005579127192473221,1.0057006097560974,-0.039054756380486944
2017-02-08,0.006074822775795227,1,0,0.0060933119321624485,1.0118286572817072,-0.03319941726138553
2017-02-09,0.001443758740435827,1,0,0.001444801461838452,1.013290548804878,-0.03180258236613842
2017-02-10,0.0014657858859392814,1,0,0.0014668606751437885,1.0147769048634148,-0.03038237164843549
2017-02-13,0.00568642472234811,1,0,0.0057026231245194126,1.020563795107317,-0.0248530077390563
2017-02-14,0.00246801315222164,1,0,0.002471061203709324,1.023085670707317,-0.02244335983856649
2017-02-15,-0.0011438502715143727,1,0,-0.0011431963241556042,1.0219160829292682,-0.02356089899625291
2017-02-16,-0.000369637102144751,1,0,-0.0003695687947676829,1.0215384146341464,-0.02392176041797478
2017-02-17,0.003345617211954833,1,0,0.0033512200357781463,1.0249618146365853,-0.02065070746500053
2017-02-21,0.007908633001731058,1,0,0.007939988845823809,1.0331000000121953,-0.012874685006107112
2017-02-22,1.1804314953691737e-05,1,0,1.180438462489164e-05,1.0331121951219513,-0.012863032599215951
2017-02-23,0.0036255153882343463,1,0,0.003632095518868006,1.0368645572963415,-0.009277656843410753
2017-02-24,-0.004038308122602868,1,0,-0.004030165121360119,1.0326858219219515,-0.013270431475752464
2017-02-27,-0.003190374846678061,1,0,-0.0031852910087335484,1.0293964170585368,-0.01641345229842439
2017-02-28,0.0028363359049268276,1,0,0.0028403621112675914,1.0323202756390244,-0.01361971033518039
2017-03-01,0.004744764154010388,1,0,0.004756038371564131,1.0372300304817073,-0.008928447828579933
2017-03-02,0.0057738895087416624,1,0,0.005790590536595808,1.0432362048804877,-0.0031895582774866815
2017-03-03,-0.008643942986740441,1,0,-0.0086066915220111,1.0342573926804877,-0.011768798255312074
2017-03-06,-0.0024531407702045533,1,0,-0.002450134279336269,1.0317233231890244,-0.01419009739861632
2017-03-07,0.0004722510903773588,1,0,0.00047236261847927175,1.032210670719512,-0.013724437651700838
