steps,horizon,mean_reward,mean_abs_td,exposure,turnover_per_step,unique_dates,visited_states,candidate,training_seed
5850,90,0.004772031652739001,0.37193588935190475,0.24444444444444444,0.26666666666666666,1105,41,SARSA,19
5940,90,-0.0396639766402243,0.33002203107916284,0.35555555555555557,0.28888888888888886,1105,41,SARSA,19
6030,90,0.03508563729448415,0.49446076576222153,0.4,0.4666666666666667,1105,41,SARSA,19
6120,90,-0.08836570239978067,0.41076681803153686,0.28888888888888886,0.37777777777777777,1105,41,SARSA,19
6210,90,0.06397659549079303,0.2194333408463464,0.15555555555555556,0.15555555555555556,1105,41,SARSA,19
6300,90,-0.03375415067832144,0.271637407141805,0.18888888888888888,0.17777777777777778,1105,41,SARSA,19
6390,90,-0.08489905934580196,0.40809121439719165,0.24444444444444444,0.2222222222222222,1105,41,SARSA,19
6480,90,-0.06813158870316198,0.252664844419922,0.24444444444444444,0.2,1105,41,SARSA,19
6570,90,0.1365921066998642,0.3913589135479626,0.18888888888888888,0.13333333333333333,1105,41,SARSA,19
6660,90,0.03460036092559205,0.16075270571821568,0.1,0.13333333333333333,1105,41,SARSA,19
6750,90,0.017129975502549837,0.14198480603796,0.1,0.17777777777777778,1105,41,SARSA,19
6840,90,-0.1095627415597643,0.28001628769294806,0.2111111111111111,0.24444444444444444,1105,41,SARSA,19
6930,90,-0.05000525012762028,0.4837963906742042,0.4444444444444444,0.08888888888888889,1105,41,SARSA,19
7020,90,0.06930335295539039,0.48262086034535046,0.37777777777777777,0.13333333333333333,1116,41,SARSA,19
7110,90,0.1707714014181742,0.5242412471010932,0.37777777777777777,0.2,1116,41,SARSA,19
7200,90,0.008577852023865103,0.30677045249118107,0.2111111111111111,0.15555555555555556,1116,41,SARSA,19
7290,90,-0.05597784319848611,0.3134640193076061,0.2111111111111111,0.2111111111111111,1116,41,SARSA,19
7380,90,0.121202782028298,1.0547025467626168,0.4666666666666667,0.2,1116,41,SARSA,19
7470,90,0.039245593892509145,0.8029211126815571,0.4444444444444444,0.16666666666666666,1116,41,SARSA,19
7560,90,-0.010418718803874433,0.241244242757891,0.25555555555555554,0.1111111111111111,1116,41,SARSA,19
7650,90,-0.09013001140475073,0.29725492677287296,0.2111111111111111,0.14444444444444443,1116,41,SARSA,19
7740,90,-0.050720114785112395,0.4928791133899799,0.4666666666666667,0.13333333333333333,1116,41,SARSA,19
7830,90,0.07092599613690906,0.21674426693359117,0.18888888888888888,0.13333333333333333,1116,41,SARSA,19
7920,90,-0.04078771196996139,0.3159353189958209,0.2111111111111111,0.24444444444444444,1116,41,SARSA,19
8010,90,-0.059713737335377284,0.12266025099152936,0.1,0.15555555555555556,1116,41,SARSA,19
8100,90,-0.0434165334300777,0.546301582215514,0.4,0.26666666666666666,1116,41,SARSA,19
8190,90,0.006617243283418977,0.256747802373336,0.2111111111111111,0.2,1116,41,SARSA,19
8280,90,0.009113283159391639,0.3644601877677734,0.32222222222222224,0.37777777777777777,1116,41,SARSA,19
8370,90,-0.010003163162080182,0.2904307272569091,0.23333333333333334,0.3111111111111111,1116,41,SARSA,19
8460,90,0.016882711914646454,0.17105206371865145,0.17777777777777778,0.15555555555555556,1116,41,SARSA,19
8550,90,-0.03841223460248865,0.2504232379366028,0.15555555555555556,0.23333333333333334,1116,41,SARSA,19
8640,90,0.09260359343460692,0.4727158017302424,0.32222222222222224,0.24444444444444444,1116,41,SARSA,19
8730,90,0.034644018835197264,0.3769682448864249,0.3333333333333333,0.3333333333333333,1116,41,SARSA,19
8820,90,-0.047971456122025836,0.39337795542154624,0.2777777777777778,0.36666666666666664,1116,41,SARSA,19
8910,90,0.1248499702540678,0.3110384059785244,0.3333333333333333,0.18888888888888888,1116,41,SARSA,19
9000,90,-0.09710115707164664,0.6157893566314676,0.4444444444444444,0.23333333333333334,1116,41,SARSA,19
9090,90,-0.09705684848110023,0.3244178971218285,0.15555555555555556,0.2222222222222222,1116,41,SARSA,19
9180,90,0.13055240688862407,0.6549441312937232,0.3,0.13333333333333333,1116,41,SARSA,19
9270,90,-0.0016080616754520747,0.16137510638189329,0.12222222222222222,0.13333333333333333,1116,41,SARSA,19
9360,90,-0.021554714198455772,0.060590197306519496,0.06666666666666667,0.13333333333333333,1116,41,SARSA,19
9450,90,0.035958936241552726,0.34092155143571007,0.26666666666666666,0.16666666666666666,1116,41,SARSA,19
9540,90,-0.02585206108486934,0.24061036241768402,0.24444444444444444,0.37777777777777777,1116,41,SARSA,19
9630,90,0.04928942398215056,0.19130415206661727,0.15555555555555556,0.15555555555555556,1116,41,SARSA,19
9720,90,0.06040494382473315,0.43662752602484817,0.35555555555555557,0.23333333333333334,1116,41,SARSA,19
